"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 00:00 - 22/03/2025 01:00","567.72",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 01:00 - 22/03/2025 02:00","504.22",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 02:00 - 22/03/2025 03:00","587.29",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 03:00 - 22/03/2025 04:00","586.51",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 04:00 - 22/03/2025 05:00","574.90",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 05:00 - 22/03/2025 06:00","576.52",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 06:00 - 22/03/2025 07:00","573.83",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 07:00 - 22/03/2025 08:00","580.24",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 08:00 - 22/03/2025 09:00","47.38",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 09:00 - 22/03/2025 10:00","172.09",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 10:00 - 22/03/2025 11:00","13.84",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 11:00 - 22/03/2025 12:00","14.89",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 12:00 - 22/03/2025 13:00","15.02",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 13:00 - 22/03/2025 14:00","14.94",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 14:00 - 22/03/2025 15:00","14.84",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 15:00 - 22/03/2025 16:00","7.28",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 16:00 - 22/03/2025 17:00","97.80",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 17:00 - 22/03/2025 18:00","563.92",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 18:00 - 22/03/2025 19:00","584.20",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 19:00 - 22/03/2025 20:00","586.92",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 20:00 - 22/03/2025 21:00","586.49",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 21:00 - 22/03/2025 22:00","560.06",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 22:00 - 22/03/2025 23:00","527.34",""
"22/03/2025 00:00 - 23/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","22/03/2025 23:00 - 23/03/2025 00:00","587.32",""
