"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 00:00 - 05/03/2025 01:00","452.22",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 01:00 - 05/03/2025 02:00","592.03",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 02:00 - 05/03/2025 03:00","435.80",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 03:00 - 05/03/2025 04:00","533.05",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 04:00 - 05/03/2025 05:00","534.20",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 05:00 - 05/03/2025 06:00","584.57",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 06:00 - 05/03/2025 07:00","515.15",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 07:00 - 05/03/2025 08:00","592.03",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 08:00 - 05/03/2025 09:00","592.06",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 09:00 - 05/03/2025 10:00","592.22",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 10:00 - 05/03/2025 11:00","30.68",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 11:00 - 05/03/2025 12:00","0.29",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 12:00 - 05/03/2025 13:00","0.20",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 13:00 - 05/03/2025 14:00","63.17",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 14:00 - 05/03/2025 15:00","54.55",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 15:00 - 05/03/2025 16:00","410.62",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 16:00 - 05/03/2025 17:00","587.42",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 17:00 - 05/03/2025 18:00","591.94",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 18:00 - 05/03/2025 19:00","592.03",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 19:00 - 05/03/2025 20:00","592.06",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 20:00 - 05/03/2025 21:00","592.06",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 21:00 - 05/03/2025 22:00","592.05",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 22:00 - 05/03/2025 23:00","592.02",""
"05/03/2025 00:00 - 06/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","05/03/2025 23:00 - 06/03/2025 00:00","592.00",""
