"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 00:00 - 30/03/2025 01:00 (CET)","175.22",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 01:00 (CET) - 30/03/2025 03:00 (CEST)","104.92",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 03:00 (CEST) - 30/03/2025 04:00","191.61",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 04:00 - 30/03/2025 05:00","220.82",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 05:00 - 30/03/2025 06:00","93.63",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 06:00 - 30/03/2025 07:00","61.73",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 07:00 - 30/03/2025 08:00","124.64",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 08:00 - 30/03/2025 09:00","197.96",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 09:00 - 30/03/2025 10:00","133.35",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 10:00 - 30/03/2025 11:00","149.95",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 11:00 - 30/03/2025 12:00","0.69",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 12:00 - 30/03/2025 13:00","0.07",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 13:00 - 30/03/2025 14:00","472.00",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 14:00 - 30/03/2025 15:00","506.62",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 15:00 - 30/03/2025 16:00","450.28",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 16:00 - 30/03/2025 17:00","197.24",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 17:00 - 30/03/2025 18:00","126.22",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 18:00 - 30/03/2025 19:00","146.88",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 19:00 - 30/03/2025 20:00","115.63",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 20:00 - 30/03/2025 21:00","152.77",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 21:00 - 30/03/2025 22:00","201.36",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 22:00 - 30/03/2025 23:00","268.12",""
"30/03/2025 00:00 - 31/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","30/03/2025 23:00 - 31/03/2025 00:00","380.69",""
