"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 00:00 - 16/03/2025 01:00","305.85",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 01:00 - 16/03/2025 02:00","331.29",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 02:00 - 16/03/2025 03:00","259.10",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 03:00 - 16/03/2025 04:00","227.33",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 04:00 - 16/03/2025 05:00","281.21",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 05:00 - 16/03/2025 06:00","321.44",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 06:00 - 16/03/2025 07:00","305.08",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 07:00 - 16/03/2025 08:00","309.99",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 08:00 - 16/03/2025 09:00","306.52",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 09:00 - 16/03/2025 10:00","345.35",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 10:00 - 16/03/2025 11:00","304.89",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 11:00 - 16/03/2025 12:00","0.50",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 12:00 - 16/03/2025 13:00","0.15",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 13:00 - 16/03/2025 14:00","0.27",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 14:00 - 16/03/2025 15:00","0.16",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 15:00 - 16/03/2025 16:00","292.12",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 16:00 - 16/03/2025 17:00","264.42",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 17:00 - 16/03/2025 18:00","497.08",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 18:00 - 16/03/2025 19:00","400.38",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 19:00 - 16/03/2025 20:00","223.32",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 20:00 - 16/03/2025 21:00","210.31",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 21:00 - 16/03/2025 22:00","261.88",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 22:00 - 16/03/2025 23:00","385.96",""
"16/03/2025 00:00 - 17/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","16/03/2025 23:00 - 17/03/2025 00:00","400.35",""
