"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 00:00 - 10/03/2025 01:00","520.14",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 01:00 - 10/03/2025 02:00","480.07",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 02:00 - 10/03/2025 03:00","426.87",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 03:00 - 10/03/2025 04:00","373.38",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 04:00 - 10/03/2025 05:00","348.04",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 05:00 - 10/03/2025 06:00","286.80",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 06:00 - 10/03/2025 07:00","257.99",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 07:00 - 10/03/2025 08:00","211.49",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 08:00 - 10/03/2025 09:00","198.23",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 09:00 - 10/03/2025 10:00","161.27",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 10:00 - 10/03/2025 11:00","100.40",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 11:00 - 10/03/2025 12:00","54.61",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 12:00 - 10/03/2025 13:00","15.91",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 13:00 - 10/03/2025 14:00","3.69",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 14:00 - 10/03/2025 15:00","4.17",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 15:00 - 10/03/2025 16:00","4.13",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 16:00 - 10/03/2025 17:00","16.24",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 17:00 - 10/03/2025 18:00","7.43",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 18:00 - 10/03/2025 19:00","20.00",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 19:00 - 10/03/2025 20:00","20.50",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 20:00 - 10/03/2025 21:00","2.40",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 21:00 - 10/03/2025 22:00","6.77",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 22:00 - 10/03/2025 23:00","3.71",""
"10/03/2025 00:00 - 11/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","10/03/2025 23:00 - 11/03/2025 00:00","1.42",""
