"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 00:00 - 01/03/2025 01:00","141.60",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 01:00 - 01/03/2025 02:00","147.93",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 02:00 - 01/03/2025 03:00","227.56",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 03:00 - 01/03/2025 04:00","208.71",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 04:00 - 01/03/2025 05:00","209.60",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 05:00 - 01/03/2025 06:00","219.36",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 06:00 - 01/03/2025 07:00","196.69",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 07:00 - 01/03/2025 08:00","176.22",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 08:00 - 01/03/2025 09:00","129.42",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 09:00 - 01/03/2025 10:00","153.12",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 10:00 - 01/03/2025 11:00","97.91",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 11:00 - 01/03/2025 12:00","108.87",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 12:00 - 01/03/2025 13:00","91.17",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 13:00 - 01/03/2025 14:00","97.81",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 14:00 - 01/03/2025 15:00","113.23",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 15:00 - 01/03/2025 16:00","170.74",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 16:00 - 01/03/2025 17:00","152.56",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 17:00 - 01/03/2025 18:00","174.39",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 18:00 - 01/03/2025 19:00","164.63",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 19:00 - 01/03/2025 20:00","212.62",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 20:00 - 01/03/2025 21:00","245.21",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 21:00 - 01/03/2025 22:00","342.89",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 22:00 - 01/03/2025 23:00","433.24",""
"01/03/2025 00:00 - 02/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","01/03/2025 23:00 - 02/03/2025 00:00","397.92",""
