"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 00:00 - 14/03/2025 01:00","39.20",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 01:00 - 14/03/2025 02:00","28.14",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 02:00 - 14/03/2025 03:00","12.94",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 03:00 - 14/03/2025 04:00","11.12",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 04:00 - 14/03/2025 05:00","39.12",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 05:00 - 14/03/2025 06:00","50.88",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 06:00 - 14/03/2025 07:00","19.30",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 07:00 - 14/03/2025 08:00","28.34",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 08:00 - 14/03/2025 09:00","29.10",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 09:00 - 14/03/2025 10:00","37.55",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 10:00 - 14/03/2025 11:00","70.79",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 11:00 - 14/03/2025 12:00","27.77",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 12:00 - 14/03/2025 13:00","3.33",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 13:00 - 14/03/2025 14:00","4.97",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 14:00 - 14/03/2025 15:00","44.12",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 15:00 - 14/03/2025 16:00","79.03",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 16:00 - 14/03/2025 17:00","146.85",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 17:00 - 14/03/2025 18:00","254.43",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 18:00 - 14/03/2025 19:00","244.05",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 19:00 - 14/03/2025 20:00","204.07",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 20:00 - 14/03/2025 21:00","268.93",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 21:00 - 14/03/2025 22:00","347.23",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 22:00 - 14/03/2025 23:00","309.89",""
"14/03/2025 00:00 - 15/03/2025 00:00","CTA|DK","DK_KF_AB_GU","45W000000000126K","Wind Offshore","45W000000000126K","14/03/2025 23:00 - 15/03/2025 00:00","256.43",""
