"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/03/2025 00:00:00 - 10/03/2025 01:00:00","BZN|DK2","Without Sequence","95.84","",""
"10/03/2025 01:00:00 - 10/03/2025 02:00:00","BZN|DK2","Without Sequence","94.92","",""
"10/03/2025 02:00:00 - 10/03/2025 03:00:00","BZN|DK2","Without Sequence","96.70","",""
"10/03/2025 03:00:00 - 10/03/2025 04:00:00","BZN|DK2","Without Sequence","96.86","",""
"10/03/2025 04:00:00 - 10/03/2025 05:00:00","BZN|DK2","Without Sequence","89.98","",""
"10/03/2025 05:00:00 - 10/03/2025 06:00:00","BZN|DK2","Without Sequence","101.13","",""
"10/03/2025 06:00:00 - 10/03/2025 07:00:00","BZN|DK2","Without Sequence","148.63","",""
"10/03/2025 07:00:00 - 10/03/2025 08:00:00","BZN|DK2","Without Sequence","159.87","",""
"10/03/2025 08:00:00 - 10/03/2025 09:00:00","BZN|DK2","Without Sequence","134.08","",""
"10/03/2025 09:00:00 - 10/03/2025 10:00:00","BZN|DK2","Without Sequence","98.92","",""
"10/03/2025 10:00:00 - 10/03/2025 11:00:00","BZN|DK2","Without Sequence","84.44","",""
"10/03/2025 11:00:00 - 10/03/2025 12:00:00","BZN|DK2","Without Sequence","77.92","",""
"10/03/2025 12:00:00 - 10/03/2025 13:00:00","BZN|DK2","Without Sequence","76.06","",""
"10/03/2025 13:00:00 - 10/03/2025 14:00:00","BZN|DK2","Without Sequence","77.36","",""
"10/03/2025 14:00:00 - 10/03/2025 15:00:00","BZN|DK2","Without Sequence","83.96","",""
"10/03/2025 15:00:00 - 10/03/2025 16:00:00","BZN|DK2","Without Sequence","97.54","",""
"10/03/2025 16:00:00 - 10/03/2025 17:00:00","BZN|DK2","Without Sequence","127.59","",""
"10/03/2025 17:00:00 - 10/03/2025 18:00:00","BZN|DK2","Without Sequence","148.10","",""
"10/03/2025 18:00:00 - 10/03/2025 19:00:00","BZN|DK2","Without Sequence","175.06","",""
"10/03/2025 19:00:00 - 10/03/2025 20:00:00","BZN|DK2","Without Sequence","160.40","",""
"10/03/2025 20:00:00 - 10/03/2025 21:00:00","BZN|DK2","Without Sequence","142.28","",""
"10/03/2025 21:00:00 - 10/03/2025 22:00:00","BZN|DK2","Without Sequence","126.68","",""
"10/03/2025 22:00:00 - 10/03/2025 23:00:00","BZN|DK2","Without Sequence","106.87","",""
"10/03/2025 23:00:00 - 11/03/2025 00:00:00","BZN|DK2","Without Sequence","97.93","",""
