"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"24/03/2025 00:00:00 - 24/03/2025 01:00:00","BZN|DK2","Without Sequence","110.42","",""
"24/03/2025 01:00:00 - 24/03/2025 02:00:00","BZN|DK2","Without Sequence","107.26","",""
"24/03/2025 02:00:00 - 24/03/2025 03:00:00","BZN|DK2","Without Sequence","101.88","",""
"24/03/2025 03:00:00 - 24/03/2025 04:00:00","BZN|DK2","Without Sequence","98.91","",""
"24/03/2025 04:00:00 - 24/03/2025 05:00:00","BZN|DK2","Without Sequence","101.95","",""
"24/03/2025 05:00:00 - 24/03/2025 06:00:00","BZN|DK2","Without Sequence","119.81","",""
"24/03/2025 06:00:00 - 24/03/2025 07:00:00","BZN|DK2","Without Sequence","141.56","",""
"24/03/2025 07:00:00 - 24/03/2025 08:00:00","BZN|DK2","Without Sequence","164.37","",""
"24/03/2025 08:00:00 - 24/03/2025 09:00:00","BZN|DK2","Without Sequence","161.97","",""
"24/03/2025 09:00:00 - 24/03/2025 10:00:00","BZN|DK2","Without Sequence","135.46","",""
"24/03/2025 10:00:00 - 24/03/2025 11:00:00","BZN|DK2","Without Sequence","111.22","",""
"24/03/2025 11:00:00 - 24/03/2025 12:00:00","BZN|DK2","Without Sequence","107.42","",""
"24/03/2025 12:00:00 - 24/03/2025 13:00:00","BZN|DK2","Without Sequence","100.79","",""
"24/03/2025 13:00:00 - 24/03/2025 14:00:00","BZN|DK2","Without Sequence","100.92","",""
"24/03/2025 14:00:00 - 24/03/2025 15:00:00","BZN|DK2","Without Sequence","106.62","",""
"24/03/2025 15:00:00 - 24/03/2025 16:00:00","BZN|DK2","Without Sequence","115.91","",""
"24/03/2025 16:00:00 - 24/03/2025 17:00:00","BZN|DK2","Without Sequence","131.02","",""
"24/03/2025 17:00:00 - 24/03/2025 18:00:00","BZN|DK2","Without Sequence","154.24","",""
"24/03/2025 18:00:00 - 24/03/2025 19:00:00","BZN|DK2","Without Sequence","212.11","",""
"24/03/2025 19:00:00 - 24/03/2025 20:00:00","BZN|DK2","Without Sequence","193.11","",""
"24/03/2025 20:00:00 - 24/03/2025 21:00:00","BZN|DK2","Without Sequence","161.92","",""
"24/03/2025 21:00:00 - 24/03/2025 22:00:00","BZN|DK2","Without Sequence","138.55","",""
"24/03/2025 22:00:00 - 24/03/2025 23:00:00","BZN|DK2","Without Sequence","125.55","",""
"24/03/2025 23:00:00 - 25/03/2025 00:00:00","BZN|DK2","Without Sequence","115.12","",""
