"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"19/03/2025 00:00:00 - 19/03/2025 01:00:00","BZN|DK2","Without Sequence","107.45","",""
"19/03/2025 01:00:00 - 19/03/2025 02:00:00","BZN|DK2","Without Sequence","102.55","",""
"19/03/2025 02:00:00 - 19/03/2025 03:00:00","BZN|DK2","Without Sequence","101.34","",""
"19/03/2025 03:00:00 - 19/03/2025 04:00:00","BZN|DK2","Without Sequence","102.15","",""
"19/03/2025 04:00:00 - 19/03/2025 05:00:00","BZN|DK2","Without Sequence","106.74","",""
"19/03/2025 05:00:00 - 19/03/2025 06:00:00","BZN|DK2","Without Sequence","122.73","",""
"19/03/2025 06:00:00 - 19/03/2025 07:00:00","BZN|DK2","Without Sequence","158.29","",""
"19/03/2025 07:00:00 - 19/03/2025 08:00:00","BZN|DK2","Without Sequence","147.93","",""
"19/03/2025 08:00:00 - 19/03/2025 09:00:00","BZN|DK2","Without Sequence","108.19","",""
"19/03/2025 09:00:00 - 19/03/2025 10:00:00","BZN|DK2","Without Sequence","73.39","",""
"19/03/2025 10:00:00 - 19/03/2025 11:00:00","BZN|DK2","Without Sequence","28.86","",""
"19/03/2025 11:00:00 - 19/03/2025 12:00:00","BZN|DK2","Without Sequence","3.96","",""
"19/03/2025 12:00:00 - 19/03/2025 13:00:00","BZN|DK2","Without Sequence","-0.56","",""
"19/03/2025 13:00:00 - 19/03/2025 14:00:00","BZN|DK2","Without Sequence","-0.16","",""
"19/03/2025 14:00:00 - 19/03/2025 15:00:00","BZN|DK2","Without Sequence","27.42","",""
"19/03/2025 15:00:00 - 19/03/2025 16:00:00","BZN|DK2","Without Sequence","40.28","",""
"19/03/2025 16:00:00 - 19/03/2025 17:00:00","BZN|DK2","Without Sequence","109.80","",""
"19/03/2025 17:00:00 - 19/03/2025 18:00:00","BZN|DK2","Without Sequence","147.64","",""
"19/03/2025 18:00:00 - 19/03/2025 19:00:00","BZN|DK2","Without Sequence","248.27","",""
"19/03/2025 19:00:00 - 19/03/2025 20:00:00","BZN|DK2","Without Sequence","220.53","",""
"19/03/2025 20:00:00 - 19/03/2025 21:00:00","BZN|DK2","Without Sequence","176.90","",""
"19/03/2025 21:00:00 - 19/03/2025 22:00:00","BZN|DK2","Without Sequence","138.38","",""
"19/03/2025 22:00:00 - 19/03/2025 23:00:00","BZN|DK2","Without Sequence","124.58","",""
"19/03/2025 23:00:00 - 20/03/2025 00:00:00","BZN|DK2","Without Sequence","111.27","",""
