"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/03/2025 00:00:00 - 12/03/2025 01:00:00","BZN|DK2","Without Sequence","101.74","",""
"12/03/2025 01:00:00 - 12/03/2025 02:00:00","BZN|DK2","Without Sequence","100.11","",""
"12/03/2025 02:00:00 - 12/03/2025 03:00:00","BZN|DK2","Without Sequence","97.82","",""
"12/03/2025 03:00:00 - 12/03/2025 04:00:00","BZN|DK2","Without Sequence","97.43","",""
"12/03/2025 04:00:00 - 12/03/2025 05:00:00","BZN|DK2","Without Sequence","101.85","",""
"12/03/2025 05:00:00 - 12/03/2025 06:00:00","BZN|DK2","Without Sequence","110.37","",""
"12/03/2025 06:00:00 - 12/03/2025 07:00:00","BZN|DK2","Without Sequence","144.57","",""
"12/03/2025 07:00:00 - 12/03/2025 08:00:00","BZN|DK2","Without Sequence","161.75","",""
"12/03/2025 08:00:00 - 12/03/2025 09:00:00","BZN|DK2","Without Sequence","148.49","",""
"12/03/2025 09:00:00 - 12/03/2025 10:00:00","BZN|DK2","Without Sequence","125.02","",""
"12/03/2025 10:00:00 - 12/03/2025 11:00:00","BZN|DK2","Without Sequence","102.64","",""
"12/03/2025 11:00:00 - 12/03/2025 12:00:00","BZN|DK2","Without Sequence","99.73","",""
"12/03/2025 12:00:00 - 12/03/2025 13:00:00","BZN|DK2","Without Sequence","98.11","",""
"12/03/2025 13:00:00 - 12/03/2025 14:00:00","BZN|DK2","Without Sequence","99.95","",""
"12/03/2025 14:00:00 - 12/03/2025 15:00:00","BZN|DK2","Without Sequence","101.69","",""
"12/03/2025 15:00:00 - 12/03/2025 16:00:00","BZN|DK2","Without Sequence","117.81","",""
"12/03/2025 16:00:00 - 12/03/2025 17:00:00","BZN|DK2","Without Sequence","140.35","",""
"12/03/2025 17:00:00 - 12/03/2025 18:00:00","BZN|DK2","Without Sequence","159.04","",""
"12/03/2025 18:00:00 - 12/03/2025 19:00:00","BZN|DK2","Without Sequence","199.90","",""
"12/03/2025 19:00:00 - 12/03/2025 20:00:00","BZN|DK2","Without Sequence","179.58","",""
"12/03/2025 20:00:00 - 12/03/2025 21:00:00","BZN|DK2","Without Sequence","148.09","",""
"12/03/2025 21:00:00 - 12/03/2025 22:00:00","BZN|DK2","Without Sequence","132.26","",""
"12/03/2025 22:00:00 - 12/03/2025 23:00:00","BZN|DK2","Without Sequence","120.02","",""
"12/03/2025 23:00:00 - 13/03/2025 00:00:00","BZN|DK2","Without Sequence","109.91","",""
