"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"15/03/2025 00:00:00 - 15/03/2025 01:00:00","BZN|DK2","Without Sequence","112.16","",""
"15/03/2025 01:00:00 - 15/03/2025 02:00:00","BZN|DK2","Without Sequence","103.15","",""
"15/03/2025 02:00:00 - 15/03/2025 03:00:00","BZN|DK2","Without Sequence","96.00","",""
"15/03/2025 03:00:00 - 15/03/2025 04:00:00","BZN|DK2","Without Sequence","89.89","",""
"15/03/2025 04:00:00 - 15/03/2025 05:00:00","BZN|DK2","Without Sequence","86.89","",""
"15/03/2025 05:00:00 - 15/03/2025 06:00:00","BZN|DK2","Without Sequence","90.55","",""
"15/03/2025 06:00:00 - 15/03/2025 07:00:00","BZN|DK2","Without Sequence","97.00","",""
"15/03/2025 07:00:00 - 15/03/2025 08:00:00","BZN|DK2","Without Sequence","99.38","",""
"15/03/2025 08:00:00 - 15/03/2025 09:00:00","BZN|DK2","Without Sequence","98.73","",""
"15/03/2025 09:00:00 - 15/03/2025 10:00:00","BZN|DK2","Without Sequence","86.36","",""
"15/03/2025 10:00:00 - 15/03/2025 11:00:00","BZN|DK2","Without Sequence","72.35","",""
"15/03/2025 11:00:00 - 15/03/2025 12:00:00","BZN|DK2","Without Sequence","67.12","",""
"15/03/2025 12:00:00 - 15/03/2025 13:00:00","BZN|DK2","Without Sequence","57.28","",""
"15/03/2025 13:00:00 - 15/03/2025 14:00:00","BZN|DK2","Without Sequence","47.96","",""
"15/03/2025 14:00:00 - 15/03/2025 15:00:00","BZN|DK2","Without Sequence","54.46","",""
"15/03/2025 15:00:00 - 15/03/2025 16:00:00","BZN|DK2","Without Sequence","70.76","",""
"15/03/2025 16:00:00 - 15/03/2025 17:00:00","BZN|DK2","Without Sequence","84.20","",""
"15/03/2025 17:00:00 - 15/03/2025 18:00:00","BZN|DK2","Without Sequence","121.87","",""
"15/03/2025 18:00:00 - 15/03/2025 19:00:00","BZN|DK2","Without Sequence","130.26","",""
"15/03/2025 19:00:00 - 15/03/2025 20:00:00","BZN|DK2","Without Sequence","132.91","",""
"15/03/2025 20:00:00 - 15/03/2025 21:00:00","BZN|DK2","Without Sequence","121.41","",""
"15/03/2025 21:00:00 - 15/03/2025 22:00:00","BZN|DK2","Without Sequence","108.46","",""
"15/03/2025 22:00:00 - 15/03/2025 23:00:00","BZN|DK2","Without Sequence","104.98","",""
"15/03/2025 23:00:00 - 16/03/2025 00:00:00","BZN|DK2","Without Sequence","95.21","",""
