"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/03/2025 00:00:00 - 06/03/2025 01:00:00","BZN|DK2","Without Sequence","30.30","",""
"06/03/2025 01:00:00 - 06/03/2025 02:00:00","BZN|DK2","Without Sequence","29.53","",""
"06/03/2025 02:00:00 - 06/03/2025 03:00:00","BZN|DK2","Without Sequence","35.47","",""
"06/03/2025 03:00:00 - 06/03/2025 04:00:00","BZN|DK2","Without Sequence","39.26","",""
"06/03/2025 04:00:00 - 06/03/2025 05:00:00","BZN|DK2","Without Sequence","47.40","",""
"06/03/2025 05:00:00 - 06/03/2025 06:00:00","BZN|DK2","Without Sequence","65.97","",""
"06/03/2025 06:00:00 - 06/03/2025 07:00:00","BZN|DK2","Without Sequence","93.16","",""
"06/03/2025 07:00:00 - 06/03/2025 08:00:00","BZN|DK2","Without Sequence","139.44","",""
"06/03/2025 08:00:00 - 06/03/2025 09:00:00","BZN|DK2","Without Sequence","108.51","",""
"06/03/2025 09:00:00 - 06/03/2025 10:00:00","BZN|DK2","Without Sequence","78.70","",""
"06/03/2025 10:00:00 - 06/03/2025 11:00:00","BZN|DK2","Without Sequence","50.47","",""
"06/03/2025 11:00:00 - 06/03/2025 12:00:00","BZN|DK2","Without Sequence","4.02","",""
"06/03/2025 12:00:00 - 06/03/2025 13:00:00","BZN|DK2","Without Sequence","0.08","",""
"06/03/2025 13:00:00 - 06/03/2025 14:00:00","BZN|DK2","Without Sequence","0.02","",""
"06/03/2025 14:00:00 - 06/03/2025 15:00:00","BZN|DK2","Without Sequence","13.16","",""
"06/03/2025 15:00:00 - 06/03/2025 16:00:00","BZN|DK2","Without Sequence","63.61","",""
"06/03/2025 16:00:00 - 06/03/2025 17:00:00","BZN|DK2","Without Sequence","99.20","",""
"06/03/2025 17:00:00 - 06/03/2025 18:00:00","BZN|DK2","Without Sequence","129.70","",""
"06/03/2025 18:00:00 - 06/03/2025 19:00:00","BZN|DK2","Without Sequence","165.36","",""
"06/03/2025 19:00:00 - 06/03/2025 20:00:00","BZN|DK2","Without Sequence","149.11","",""
"06/03/2025 20:00:00 - 06/03/2025 21:00:00","BZN|DK2","Without Sequence","125.64","",""
"06/03/2025 21:00:00 - 06/03/2025 22:00:00","BZN|DK2","Without Sequence","106.63","",""
"06/03/2025 22:00:00 - 06/03/2025 23:00:00","BZN|DK2","Without Sequence","101.47","",""
"06/03/2025 23:00:00 - 07/03/2025 00:00:00","BZN|DK2","Without Sequence","91.11","",""
