"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"25/03/2025 00:00:00 - 25/03/2025 01:00:00","BZN|DK2","Without Sequence","100.61","",""
"25/03/2025 01:00:00 - 25/03/2025 02:00:00","BZN|DK2","Without Sequence","99.98","",""
"25/03/2025 02:00:00 - 25/03/2025 03:00:00","BZN|DK2","Without Sequence","99.90","",""
"25/03/2025 03:00:00 - 25/03/2025 04:00:00","BZN|DK2","Without Sequence","96.38","",""
"25/03/2025 04:00:00 - 25/03/2025 05:00:00","BZN|DK2","Without Sequence","98.01","",""
"25/03/2025 05:00:00 - 25/03/2025 06:00:00","BZN|DK2","Without Sequence","99.92","",""
"25/03/2025 06:00:00 - 25/03/2025 07:00:00","BZN|DK2","Without Sequence","134.09","",""
"25/03/2025 07:00:00 - 25/03/2025 08:00:00","BZN|DK2","Without Sequence","142.17","",""
"25/03/2025 08:00:00 - 25/03/2025 09:00:00","BZN|DK2","Without Sequence","133.44","",""
"25/03/2025 09:00:00 - 25/03/2025 10:00:00","BZN|DK2","Without Sequence","106.44","",""
"25/03/2025 10:00:00 - 25/03/2025 11:00:00","BZN|DK2","Without Sequence","92.03","",""
"25/03/2025 11:00:00 - 25/03/2025 12:00:00","BZN|DK2","Without Sequence","78.78","",""
"25/03/2025 12:00:00 - 25/03/2025 13:00:00","BZN|DK2","Without Sequence","68.44","",""
"25/03/2025 13:00:00 - 25/03/2025 14:00:00","BZN|DK2","Without Sequence","68.27","",""
"25/03/2025 14:00:00 - 25/03/2025 15:00:00","BZN|DK2","Without Sequence","77.44","",""
"25/03/2025 15:00:00 - 25/03/2025 16:00:00","BZN|DK2","Without Sequence","88.84","",""
"25/03/2025 16:00:00 - 25/03/2025 17:00:00","BZN|DK2","Without Sequence","101.56","",""
"25/03/2025 17:00:00 - 25/03/2025 18:00:00","BZN|DK2","Without Sequence","128.28","",""
"25/03/2025 18:00:00 - 25/03/2025 19:00:00","BZN|DK2","Without Sequence","137.32","",""
"25/03/2025 19:00:00 - 25/03/2025 20:00:00","BZN|DK2","Without Sequence","121.39","",""
"25/03/2025 20:00:00 - 25/03/2025 21:00:00","BZN|DK2","Without Sequence","97.05","",""
"25/03/2025 21:00:00 - 25/03/2025 22:00:00","BZN|DK2","Without Sequence","87.13","",""
"25/03/2025 22:00:00 - 25/03/2025 23:00:00","BZN|DK2","Without Sequence","63.97","",""
"25/03/2025 23:00:00 - 26/03/2025 00:00:00","BZN|DK2","Without Sequence","56.00","",""
