"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"22/03/2025 00:00:00 - 22/03/2025 01:00:00","BZN|DK2","Without Sequence","18.37","",""
"22/03/2025 01:00:00 - 22/03/2025 02:00:00","BZN|DK2","Without Sequence","8.59","",""
"22/03/2025 02:00:00 - 22/03/2025 03:00:00","BZN|DK2","Without Sequence","7.39","",""
"22/03/2025 03:00:00 - 22/03/2025 04:00:00","BZN|DK2","Without Sequence","6.59","",""
"22/03/2025 04:00:00 - 22/03/2025 05:00:00","BZN|DK2","Without Sequence","8.32","",""
"22/03/2025 05:00:00 - 22/03/2025 06:00:00","BZN|DK2","Without Sequence","9.46","",""
"22/03/2025 06:00:00 - 22/03/2025 07:00:00","BZN|DK2","Without Sequence","10.53","",""
"22/03/2025 07:00:00 - 22/03/2025 08:00:00","BZN|DK2","Without Sequence","9.05","",""
"22/03/2025 08:00:00 - 22/03/2025 09:00:00","BZN|DK2","Without Sequence","3.24","",""
"22/03/2025 09:00:00 - 22/03/2025 10:00:00","BZN|DK2","Without Sequence","0.00","",""
"22/03/2025 10:00:00 - 22/03/2025 11:00:00","BZN|DK2","Without Sequence","-2.02","",""
"22/03/2025 11:00:00 - 22/03/2025 12:00:00","BZN|DK2","Without Sequence","-5.83","",""
"22/03/2025 12:00:00 - 22/03/2025 13:00:00","BZN|DK2","Without Sequence","-12.00","",""
"22/03/2025 13:00:00 - 22/03/2025 14:00:00","BZN|DK2","Without Sequence","-11.27","",""
"22/03/2025 14:00:00 - 22/03/2025 15:00:00","BZN|DK2","Without Sequence","-5.49","",""
"22/03/2025 15:00:00 - 22/03/2025 16:00:00","BZN|DK2","Without Sequence","-1.65","",""
"22/03/2025 16:00:00 - 22/03/2025 17:00:00","BZN|DK2","Without Sequence","1.21","",""
"22/03/2025 17:00:00 - 22/03/2025 18:00:00","BZN|DK2","Without Sequence","24.52","",""
"22/03/2025 18:00:00 - 22/03/2025 19:00:00","BZN|DK2","Without Sequence","26.85","",""
"22/03/2025 19:00:00 - 22/03/2025 20:00:00","BZN|DK2","Without Sequence","28.22","",""
"22/03/2025 20:00:00 - 22/03/2025 21:00:00","BZN|DK2","Without Sequence","25.38","",""
"22/03/2025 21:00:00 - 22/03/2025 22:00:00","BZN|DK2","Without Sequence","23.28","",""
"22/03/2025 22:00:00 - 22/03/2025 23:00:00","BZN|DK2","Without Sequence","23.23","",""
"22/03/2025 23:00:00 - 23/03/2025 00:00:00","BZN|DK2","Without Sequence","22.34","",""
