"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"16/03/2025 00:00:00 - 16/03/2025 01:00:00","BZN|DK2","Without Sequence","89.97","",""
"16/03/2025 01:00:00 - 16/03/2025 02:00:00","BZN|DK2","Without Sequence","85.75","",""
"16/03/2025 02:00:00 - 16/03/2025 03:00:00","BZN|DK2","Without Sequence","79.57","",""
"16/03/2025 03:00:00 - 16/03/2025 04:00:00","BZN|DK2","Without Sequence","78.15","",""
"16/03/2025 04:00:00 - 16/03/2025 05:00:00","BZN|DK2","Without Sequence","78.55","",""
"16/03/2025 05:00:00 - 16/03/2025 06:00:00","BZN|DK2","Without Sequence","29.41","",""
"16/03/2025 06:00:00 - 16/03/2025 07:00:00","BZN|DK2","Without Sequence","30.14","",""
"16/03/2025 07:00:00 - 16/03/2025 08:00:00","BZN|DK2","Without Sequence","30.70","",""
"16/03/2025 08:00:00 - 16/03/2025 09:00:00","BZN|DK2","Without Sequence","30.50","",""
"16/03/2025 09:00:00 - 16/03/2025 10:00:00","BZN|DK2","Without Sequence","28.73","",""
"16/03/2025 10:00:00 - 16/03/2025 11:00:00","BZN|DK2","Without Sequence","24.06","",""
"16/03/2025 11:00:00 - 16/03/2025 12:00:00","BZN|DK2","Without Sequence","2.90","",""
"16/03/2025 12:00:00 - 16/03/2025 13:00:00","BZN|DK2","Without Sequence","1.01","",""
"16/03/2025 13:00:00 - 16/03/2025 14:00:00","BZN|DK2","Without Sequence","0.19","",""
"16/03/2025 14:00:00 - 16/03/2025 15:00:00","BZN|DK2","Without Sequence","2.67","",""
"16/03/2025 15:00:00 - 16/03/2025 16:00:00","BZN|DK2","Without Sequence","30.81","",""
"16/03/2025 16:00:00 - 16/03/2025 17:00:00","BZN|DK2","Without Sequence","59.97","",""
"16/03/2025 17:00:00 - 16/03/2025 18:00:00","BZN|DK2","Without Sequence","94.68","",""
"16/03/2025 18:00:00 - 16/03/2025 19:00:00","BZN|DK2","Without Sequence","83.61","",""
"16/03/2025 19:00:00 - 16/03/2025 20:00:00","BZN|DK2","Without Sequence","45.54","",""
"16/03/2025 20:00:00 - 16/03/2025 21:00:00","BZN|DK2","Without Sequence","31.49","",""
"16/03/2025 21:00:00 - 16/03/2025 22:00:00","BZN|DK2","Without Sequence","31.10","",""
"16/03/2025 22:00:00 - 16/03/2025 23:00:00","BZN|DK2","Without Sequence","30.69","",""
"16/03/2025 23:00:00 - 17/03/2025 00:00:00","BZN|DK2","Without Sequence","30.44","",""
