"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"13/03/2025 00:00:00 - 13/03/2025 01:00:00","BZN|DK2","Without Sequence","108.49","",""
"13/03/2025 01:00:00 - 13/03/2025 02:00:00","BZN|DK2","Without Sequence","102.22","",""
"13/03/2025 02:00:00 - 13/03/2025 03:00:00","BZN|DK2","Without Sequence","98.96","",""
"13/03/2025 03:00:00 - 13/03/2025 04:00:00","BZN|DK2","Without Sequence","96.69","",""
"13/03/2025 04:00:00 - 13/03/2025 05:00:00","BZN|DK2","Without Sequence","98.33","",""
"13/03/2025 05:00:00 - 13/03/2025 06:00:00","BZN|DK2","Without Sequence","105.87","",""
"13/03/2025 06:00:00 - 13/03/2025 07:00:00","BZN|DK2","Without Sequence","132.70","",""
"13/03/2025 07:00:00 - 13/03/2025 08:00:00","BZN|DK2","Without Sequence","160.74","",""
"13/03/2025 08:00:00 - 13/03/2025 09:00:00","BZN|DK2","Without Sequence","160.99","",""
"13/03/2025 09:00:00 - 13/03/2025 10:00:00","BZN|DK2","Without Sequence","154.80","",""
"13/03/2025 10:00:00 - 13/03/2025 11:00:00","BZN|DK2","Without Sequence","123.84","",""
"13/03/2025 11:00:00 - 13/03/2025 12:00:00","BZN|DK2","Without Sequence","110.75","",""
"13/03/2025 12:00:00 - 13/03/2025 13:00:00","BZN|DK2","Without Sequence","110.08","",""
"13/03/2025 13:00:00 - 13/03/2025 14:00:00","BZN|DK2","Without Sequence","108.28","",""
"13/03/2025 14:00:00 - 13/03/2025 15:00:00","BZN|DK2","Without Sequence","107.60","",""
"13/03/2025 15:00:00 - 13/03/2025 16:00:00","BZN|DK2","Without Sequence","110.02","",""
"13/03/2025 16:00:00 - 13/03/2025 17:00:00","BZN|DK2","Without Sequence","121.56","",""
"13/03/2025 17:00:00 - 13/03/2025 18:00:00","BZN|DK2","Without Sequence","142.95","",""
"13/03/2025 18:00:00 - 13/03/2025 19:00:00","BZN|DK2","Without Sequence","166.09","",""
"13/03/2025 19:00:00 - 13/03/2025 20:00:00","BZN|DK2","Without Sequence","173.42","",""
"13/03/2025 20:00:00 - 13/03/2025 21:00:00","BZN|DK2","Without Sequence","148.99","",""
"13/03/2025 21:00:00 - 13/03/2025 22:00:00","BZN|DK2","Without Sequence","135.69","",""
"13/03/2025 22:00:00 - 13/03/2025 23:00:00","BZN|DK2","Without Sequence","123.41","",""
"13/03/2025 23:00:00 - 14/03/2025 00:00:00","BZN|DK2","Without Sequence","111.53","",""
