"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/03/2025 00:00:00 - 09/03/2025 01:00:00","BZN|DK2","Without Sequence","95.19","",""
"09/03/2025 01:00:00 - 09/03/2025 02:00:00","BZN|DK2","Without Sequence","94.81","",""
"09/03/2025 02:00:00 - 09/03/2025 03:00:00","BZN|DK2","Without Sequence","94.44","",""
"09/03/2025 03:00:00 - 09/03/2025 04:00:00","BZN|DK2","Without Sequence","96.51","",""
"09/03/2025 04:00:00 - 09/03/2025 05:00:00","BZN|DK2","Without Sequence","98.67","",""
"09/03/2025 05:00:00 - 09/03/2025 06:00:00","BZN|DK2","Without Sequence","101.51","",""
"09/03/2025 06:00:00 - 09/03/2025 07:00:00","BZN|DK2","Without Sequence","100.00","",""
"09/03/2025 07:00:00 - 09/03/2025 08:00:00","BZN|DK2","Without Sequence","93.00","",""
"09/03/2025 08:00:00 - 09/03/2025 09:00:00","BZN|DK2","Without Sequence","59.02","",""
"09/03/2025 09:00:00 - 09/03/2025 10:00:00","BZN|DK2","Without Sequence","24.41","",""
"09/03/2025 10:00:00 - 09/03/2025 11:00:00","BZN|DK2","Without Sequence","21.32","",""
"09/03/2025 11:00:00 - 09/03/2025 12:00:00","BZN|DK2","Without Sequence","3.95","",""
"09/03/2025 12:00:00 - 09/03/2025 13:00:00","BZN|DK2","Without Sequence","1.29","",""
"09/03/2025 13:00:00 - 09/03/2025 14:00:00","BZN|DK2","Without Sequence","3.95","",""
"09/03/2025 14:00:00 - 09/03/2025 15:00:00","BZN|DK2","Without Sequence","11.03","",""
"09/03/2025 15:00:00 - 09/03/2025 16:00:00","BZN|DK2","Without Sequence","28.01","",""
"09/03/2025 16:00:00 - 09/03/2025 17:00:00","BZN|DK2","Without Sequence","68.99","",""
"09/03/2025 17:00:00 - 09/03/2025 18:00:00","BZN|DK2","Without Sequence","107.86","",""
"09/03/2025 18:00:00 - 09/03/2025 19:00:00","BZN|DK2","Without Sequence","134.15","",""
"09/03/2025 19:00:00 - 09/03/2025 20:00:00","BZN|DK2","Without Sequence","132.71","",""
"09/03/2025 20:00:00 - 09/03/2025 21:00:00","BZN|DK2","Without Sequence","114.54","",""
"09/03/2025 21:00:00 - 09/03/2025 22:00:00","BZN|DK2","Without Sequence","107.87","",""
"09/03/2025 22:00:00 - 09/03/2025 23:00:00","BZN|DK2","Without Sequence","104.56","",""
"09/03/2025 23:00:00 - 10/03/2025 00:00:00","BZN|DK2","Without Sequence","103.64","",""
