"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"27/03/2025 00:00:00 - 27/03/2025 01:00:00","BZN|DK2","Without Sequence","103.91","",""
"27/03/2025 01:00:00 - 27/03/2025 02:00:00","BZN|DK2","Without Sequence","98.98","",""
"27/03/2025 02:00:00 - 27/03/2025 03:00:00","BZN|DK2","Without Sequence","96.59","",""
"27/03/2025 03:00:00 - 27/03/2025 04:00:00","BZN|DK2","Without Sequence","95.81","",""
"27/03/2025 04:00:00 - 27/03/2025 05:00:00","BZN|DK2","Without Sequence","92.13","",""
"27/03/2025 05:00:00 - 27/03/2025 06:00:00","BZN|DK2","Without Sequence","100.53","",""
"27/03/2025 06:00:00 - 27/03/2025 07:00:00","BZN|DK2","Without Sequence","120.42","",""
"27/03/2025 07:00:00 - 27/03/2025 08:00:00","BZN|DK2","Without Sequence","140.01","",""
"27/03/2025 08:00:00 - 27/03/2025 09:00:00","BZN|DK2","Without Sequence","123.50","",""
"27/03/2025 09:00:00 - 27/03/2025 10:00:00","BZN|DK2","Without Sequence","89.92","",""
"27/03/2025 10:00:00 - 27/03/2025 11:00:00","BZN|DK2","Without Sequence","70.79","",""
"27/03/2025 11:00:00 - 27/03/2025 12:00:00","BZN|DK2","Without Sequence","44.11","",""
"27/03/2025 12:00:00 - 27/03/2025 13:00:00","BZN|DK2","Without Sequence","26.11","",""
"27/03/2025 13:00:00 - 27/03/2025 14:00:00","BZN|DK2","Without Sequence","6.67","",""
"27/03/2025 14:00:00 - 27/03/2025 15:00:00","BZN|DK2","Without Sequence","32.00","",""
"27/03/2025 15:00:00 - 27/03/2025 16:00:00","BZN|DK2","Without Sequence","67.10","",""
"27/03/2025 16:00:00 - 27/03/2025 17:00:00","BZN|DK2","Without Sequence","87.07","",""
"27/03/2025 17:00:00 - 27/03/2025 18:00:00","BZN|DK2","Without Sequence","116.05","",""
"27/03/2025 18:00:00 - 27/03/2025 19:00:00","BZN|DK2","Without Sequence","125.63","",""
"27/03/2025 19:00:00 - 27/03/2025 20:00:00","BZN|DK2","Without Sequence","140.50","",""
"27/03/2025 20:00:00 - 27/03/2025 21:00:00","BZN|DK2","Without Sequence","140.69","",""
"27/03/2025 21:00:00 - 27/03/2025 22:00:00","BZN|DK2","Without Sequence","99.97","",""
"27/03/2025 22:00:00 - 27/03/2025 23:00:00","BZN|DK2","Without Sequence","90.40","",""
"27/03/2025 23:00:00 - 28/03/2025 00:00:00","BZN|DK2","Without Sequence","81.12","",""
