"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"23/03/2025 00:00:00 - 23/03/2025 01:00:00","BZN|DK2","Without Sequence","3.99","",""
"23/03/2025 01:00:00 - 23/03/2025 02:00:00","BZN|DK2","Without Sequence","5.06","",""
"23/03/2025 02:00:00 - 23/03/2025 03:00:00","BZN|DK2","Without Sequence","3.97","",""
"23/03/2025 03:00:00 - 23/03/2025 04:00:00","BZN|DK2","Without Sequence","5.00","",""
"23/03/2025 04:00:00 - 23/03/2025 05:00:00","BZN|DK2","Without Sequence","6.58","",""
"23/03/2025 05:00:00 - 23/03/2025 06:00:00","BZN|DK2","Without Sequence","7.54","",""
"23/03/2025 06:00:00 - 23/03/2025 07:00:00","BZN|DK2","Without Sequence","4.68","",""
"23/03/2025 07:00:00 - 23/03/2025 08:00:00","BZN|DK2","Without Sequence","3.97","",""
"23/03/2025 08:00:00 - 23/03/2025 09:00:00","BZN|DK2","Without Sequence","3.91","",""
"23/03/2025 09:00:00 - 23/03/2025 10:00:00","BZN|DK2","Without Sequence","2.30","",""
"23/03/2025 10:00:00 - 23/03/2025 11:00:00","BZN|DK2","Without Sequence","2.26","",""
"23/03/2025 11:00:00 - 23/03/2025 12:00:00","BZN|DK2","Without Sequence","0.36","",""
"23/03/2025 12:00:00 - 23/03/2025 13:00:00","BZN|DK2","Without Sequence","0.45","",""
"23/03/2025 13:00:00 - 23/03/2025 14:00:00","BZN|DK2","Without Sequence","0.02","",""
"23/03/2025 14:00:00 - 23/03/2025 15:00:00","BZN|DK2","Without Sequence","1.99","",""
"23/03/2025 15:00:00 - 23/03/2025 16:00:00","BZN|DK2","Without Sequence","3.06","",""
"23/03/2025 16:00:00 - 23/03/2025 17:00:00","BZN|DK2","Without Sequence","13.06","",""
"23/03/2025 17:00:00 - 23/03/2025 18:00:00","BZN|DK2","Without Sequence","32.68","",""
"23/03/2025 18:00:00 - 23/03/2025 19:00:00","BZN|DK2","Without Sequence","33.11","",""
"23/03/2025 19:00:00 - 23/03/2025 20:00:00","BZN|DK2","Without Sequence","38.95","",""
"23/03/2025 20:00:00 - 23/03/2025 21:00:00","BZN|DK2","Without Sequence","33.17","",""
"23/03/2025 21:00:00 - 23/03/2025 22:00:00","BZN|DK2","Without Sequence","33.00","",""
"23/03/2025 22:00:00 - 23/03/2025 23:00:00","BZN|DK2","Without Sequence","32.83","",""
"23/03/2025 23:00:00 - 24/03/2025 00:00:00","BZN|DK2","Without Sequence","32.63","",""
