"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/03/2025 00:00:00 - 01/03/2025 01:00:00","BZN|DK2","Without Sequence","128.20","",""
"01/03/2025 01:00:00 - 01/03/2025 02:00:00","BZN|DK2","Without Sequence","120.38","",""
"01/03/2025 02:00:00 - 01/03/2025 03:00:00","BZN|DK2","Without Sequence","117.09","",""
"01/03/2025 03:00:00 - 01/03/2025 04:00:00","BZN|DK2","Without Sequence","112.15","",""
"01/03/2025 04:00:00 - 01/03/2025 05:00:00","BZN|DK2","Without Sequence","109.75","",""
"01/03/2025 05:00:00 - 01/03/2025 06:00:00","BZN|DK2","Without Sequence","111.89","",""
"01/03/2025 06:00:00 - 01/03/2025 07:00:00","BZN|DK2","Without Sequence","117.11","",""
"01/03/2025 07:00:00 - 01/03/2025 08:00:00","BZN|DK2","Without Sequence","135.81","",""
"01/03/2025 08:00:00 - 01/03/2025 09:00:00","BZN|DK2","Without Sequence","138.82","",""
"01/03/2025 09:00:00 - 01/03/2025 10:00:00","BZN|DK2","Without Sequence","137.77","",""
"01/03/2025 10:00:00 - 01/03/2025 11:00:00","BZN|DK2","Without Sequence","125.08","",""
"01/03/2025 11:00:00 - 01/03/2025 12:00:00","BZN|DK2","Without Sequence","112.10","",""
"01/03/2025 12:00:00 - 01/03/2025 13:00:00","BZN|DK2","Without Sequence","102.21","",""
"01/03/2025 13:00:00 - 01/03/2025 14:00:00","BZN|DK2","Without Sequence","97.27","",""
"01/03/2025 14:00:00 - 01/03/2025 15:00:00","BZN|DK2","Without Sequence","99.39","",""
"01/03/2025 15:00:00 - 01/03/2025 16:00:00","BZN|DK2","Without Sequence","97.80","",""
"01/03/2025 16:00:00 - 01/03/2025 17:00:00","BZN|DK2","Without Sequence","125.41","",""
"01/03/2025 17:00:00 - 01/03/2025 18:00:00","BZN|DK2","Without Sequence","145.00","",""
"01/03/2025 18:00:00 - 01/03/2025 19:00:00","BZN|DK2","Without Sequence","158.55","",""
"01/03/2025 19:00:00 - 01/03/2025 20:00:00","BZN|DK2","Without Sequence","150.78","",""
"01/03/2025 20:00:00 - 01/03/2025 21:00:00","BZN|DK2","Without Sequence","133.41","",""
"01/03/2025 21:00:00 - 01/03/2025 22:00:00","BZN|DK2","Without Sequence","125.42","",""
"01/03/2025 22:00:00 - 01/03/2025 23:00:00","BZN|DK2","Without Sequence","122.03","",""
"01/03/2025 23:00:00 - 02/03/2025 00:00:00","BZN|DK2","Without Sequence","119.92","",""
