"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"28/03/2025 00:00:00 - 28/03/2025 01:00:00","BZN|DK2","Without Sequence","85.19","",""
"28/03/2025 01:00:00 - 28/03/2025 02:00:00","BZN|DK2","Without Sequence","78.29","",""
"28/03/2025 02:00:00 - 28/03/2025 03:00:00","BZN|DK2","Without Sequence","68.78","",""
"28/03/2025 03:00:00 - 28/03/2025 04:00:00","BZN|DK2","Without Sequence","64.87","",""
"28/03/2025 04:00:00 - 28/03/2025 05:00:00","BZN|DK2","Without Sequence","53.59","",""
"28/03/2025 05:00:00 - 28/03/2025 06:00:00","BZN|DK2","Without Sequence","59.81","",""
"28/03/2025 06:00:00 - 28/03/2025 07:00:00","BZN|DK2","Without Sequence","85.26","",""
"28/03/2025 07:00:00 - 28/03/2025 08:00:00","BZN|DK2","Without Sequence","84.10","",""
"28/03/2025 08:00:00 - 28/03/2025 09:00:00","BZN|DK2","Without Sequence","64.69","",""
"28/03/2025 09:00:00 - 28/03/2025 10:00:00","BZN|DK2","Without Sequence","34.98","",""
"28/03/2025 10:00:00 - 28/03/2025 11:00:00","BZN|DK2","Without Sequence","20.46","",""
"28/03/2025 11:00:00 - 28/03/2025 12:00:00","BZN|DK2","Without Sequence","1.68","",""
"28/03/2025 12:00:00 - 28/03/2025 13:00:00","BZN|DK2","Without Sequence","-0.01","",""
"28/03/2025 13:00:00 - 28/03/2025 14:00:00","BZN|DK2","Without Sequence","-0.03","",""
"28/03/2025 14:00:00 - 28/03/2025 15:00:00","BZN|DK2","Without Sequence","14.48","",""
"28/03/2025 15:00:00 - 28/03/2025 16:00:00","BZN|DK2","Without Sequence","70.06","",""
"28/03/2025 16:00:00 - 28/03/2025 17:00:00","BZN|DK2","Without Sequence","104.14","",""
"28/03/2025 17:00:00 - 28/03/2025 18:00:00","BZN|DK2","Without Sequence","132.00","",""
"28/03/2025 18:00:00 - 28/03/2025 19:00:00","BZN|DK2","Without Sequence","165.99","",""
"28/03/2025 19:00:00 - 28/03/2025 20:00:00","BZN|DK2","Without Sequence","165.91","",""
"28/03/2025 20:00:00 - 28/03/2025 21:00:00","BZN|DK2","Without Sequence","148.03","",""
"28/03/2025 21:00:00 - 28/03/2025 22:00:00","BZN|DK2","Without Sequence","124.56","",""
"28/03/2025 22:00:00 - 28/03/2025 23:00:00","BZN|DK2","Without Sequence","117.94","",""
"28/03/2025 23:00:00 - 29/03/2025 00:00:00","BZN|DK2","Without Sequence","110.12","",""
