"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"29/03/2025 00:00:00 - 29/03/2025 01:00:00","BZN|DK2","Without Sequence","113.62","",""
"29/03/2025 01:00:00 - 29/03/2025 02:00:00","BZN|DK2","Without Sequence","103.91","",""
"29/03/2025 02:00:00 - 29/03/2025 03:00:00","BZN|DK2","Without Sequence","96.54","",""
"29/03/2025 03:00:00 - 29/03/2025 04:00:00","BZN|DK2","Without Sequence","96.22","",""
"29/03/2025 04:00:00 - 29/03/2025 05:00:00","BZN|DK2","Without Sequence","96.50","",""
"29/03/2025 05:00:00 - 29/03/2025 06:00:00","BZN|DK2","Without Sequence","92.74","",""
"29/03/2025 06:00:00 - 29/03/2025 07:00:00","BZN|DK2","Without Sequence","96.73","",""
"29/03/2025 07:00:00 - 29/03/2025 08:00:00","BZN|DK2","Without Sequence","98.44","",""
"29/03/2025 08:00:00 - 29/03/2025 09:00:00","BZN|DK2","Without Sequence","91.86","",""
"29/03/2025 09:00:00 - 29/03/2025 10:00:00","BZN|DK2","Without Sequence","76.14","",""
"29/03/2025 10:00:00 - 29/03/2025 11:00:00","BZN|DK2","Without Sequence","65.67","",""
"29/03/2025 11:00:00 - 29/03/2025 12:00:00","BZN|DK2","Without Sequence","65.34","",""
"29/03/2025 12:00:00 - 29/03/2025 13:00:00","BZN|DK2","Without Sequence","65.33","",""
"29/03/2025 13:00:00 - 29/03/2025 14:00:00","BZN|DK2","Without Sequence","2.06","",""
"29/03/2025 14:00:00 - 29/03/2025 15:00:00","BZN|DK2","Without Sequence","3.94","",""
"29/03/2025 15:00:00 - 29/03/2025 16:00:00","BZN|DK2","Without Sequence","25.27","",""
"29/03/2025 16:00:00 - 29/03/2025 17:00:00","BZN|DK2","Without Sequence","56.37","",""
"29/03/2025 17:00:00 - 29/03/2025 18:00:00","BZN|DK2","Without Sequence","100.10","",""
"29/03/2025 18:00:00 - 29/03/2025 19:00:00","BZN|DK2","Without Sequence","146.91","",""
"29/03/2025 19:00:00 - 29/03/2025 20:00:00","BZN|DK2","Without Sequence","152.23","",""
"29/03/2025 20:00:00 - 29/03/2025 21:00:00","BZN|DK2","Without Sequence","121.07","",""
"29/03/2025 21:00:00 - 29/03/2025 22:00:00","BZN|DK2","Without Sequence","97.92","",""
"29/03/2025 22:00:00 - 29/03/2025 23:00:00","BZN|DK2","Without Sequence","76.65","",""
"29/03/2025 23:00:00 - 30/03/2025 00:00:00","BZN|DK2","Without Sequence","43.26","",""
