"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/03/2025 00:00:00 - 11/03/2025 01:00:00","BZN|DK2","Without Sequence","104.39","",""
"11/03/2025 01:00:00 - 11/03/2025 02:00:00","BZN|DK2","Without Sequence","101.79","",""
"11/03/2025 02:00:00 - 11/03/2025 03:00:00","BZN|DK2","Without Sequence","99.72","",""
"11/03/2025 03:00:00 - 11/03/2025 04:00:00","BZN|DK2","Without Sequence","100.48","",""
"11/03/2025 04:00:00 - 11/03/2025 05:00:00","BZN|DK2","Without Sequence","102.51","",""
"11/03/2025 05:00:00 - 11/03/2025 06:00:00","BZN|DK2","Without Sequence","110.88","",""
"11/03/2025 06:00:00 - 11/03/2025 07:00:00","BZN|DK2","Without Sequence","148.14","",""
"11/03/2025 07:00:00 - 11/03/2025 08:00:00","BZN|DK2","Without Sequence","153.09","",""
"11/03/2025 08:00:00 - 11/03/2025 09:00:00","BZN|DK2","Without Sequence","146.54","",""
"11/03/2025 09:00:00 - 11/03/2025 10:00:00","BZN|DK2","Without Sequence","128.53","",""
"11/03/2025 10:00:00 - 11/03/2025 11:00:00","BZN|DK2","Without Sequence","102.00","",""
"11/03/2025 11:00:00 - 11/03/2025 12:00:00","BZN|DK2","Without Sequence","97.48","",""
"11/03/2025 12:00:00 - 11/03/2025 13:00:00","BZN|DK2","Without Sequence","96.45","",""
"11/03/2025 13:00:00 - 11/03/2025 14:00:00","BZN|DK2","Without Sequence","98.39","",""
"11/03/2025 14:00:00 - 11/03/2025 15:00:00","BZN|DK2","Without Sequence","102.35","",""
"11/03/2025 15:00:00 - 11/03/2025 16:00:00","BZN|DK2","Without Sequence","112.84","",""
"11/03/2025 16:00:00 - 11/03/2025 17:00:00","BZN|DK2","Without Sequence","132.90","",""
"11/03/2025 17:00:00 - 11/03/2025 18:00:00","BZN|DK2","Without Sequence","172.03","",""
"11/03/2025 18:00:00 - 11/03/2025 19:00:00","BZN|DK2","Without Sequence","205.15","",""
"11/03/2025 19:00:00 - 11/03/2025 20:00:00","BZN|DK2","Without Sequence","181.06","",""
"11/03/2025 20:00:00 - 11/03/2025 21:00:00","BZN|DK2","Without Sequence","149.49","",""
"11/03/2025 21:00:00 - 11/03/2025 22:00:00","BZN|DK2","Without Sequence","133.05","",""
"11/03/2025 22:00:00 - 11/03/2025 23:00:00","BZN|DK2","Without Sequence","121.27","",""
"11/03/2025 23:00:00 - 12/03/2025 00:00:00","BZN|DK2","Without Sequence","107.36","",""
